!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
kerkgemeenschappen	[u'/\u02c8k\u025brk.\u03c7\u0259\u02ccmen.s\u03c7\u0251.p\u0259(n)/', u'/\u02c8k\u025brk.\u0263\u0259\u02ccmen.sx\u0251.p\u0259(n)/']
kerkgeschiedenis	[u'/\u02c8k\u025brk.\u03c7\u0259\u02ccs\u03c7i.d\u0259.n\u026as/', u'/\u02c8k\u025brk.\u0263\u0259\u02ccsxi.d\u0259.n\u026as/']
kerkgezang	[u'/\u02c8k\u025brk.\u03c7\u0259\u02ccz\u0251\u014b/', u'/\u02c8k\u025brk.\u0263\u0259\u02ccz\u0251\u014b/']
kerkgoed	[u'/\u02c8k\u025brk.\u03c7ut/', u'/\u02c8k\u025brk.\u0263ut/']
kerkheer	[u'/\u02c8k\u025brk.h\u026a\u02d0r/', u'/\u02c8k\u025brk.he\u02d0r/']
kerkheertje	[u'/\u02c8k\u025brk.h\u026a\u02d0r.c\u0259/', u'/\u02c8k\u025brk.he\u02d0r.t\u02b2\u0259/']
kerkheertjes	[u'/\u02c8k\u025brk.h\u026a\u02d0r.c\u0259s/', u'/\u02c8k\u025brk.he\u02d0r.t\u02b2\u0259s/']
kerkheren	[u'/\u02c8k\u025brk.h\u026a\u02d0.r\u0259(n)/', u'/\u02c8k\u025brk.he\u02d0.r\u0259(n)/']
kerkhervormer	[u'/\u02c8k\u025brk.h\u025br\u02ccv\u0254r.m\u0259r/', u'/\u02c8k\u025brk.h\u025br\u02ccv\u0254r.m\u0259r/']
kerkhervormers	[u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259rs/', u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259rs/']
kerkhervormertje	[u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259r.c\u0259/', u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259r.t\u02b2\u0259/']
kerkhervormertjes	[u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259r.c\u0259s/', u'/\u02c8k\u025brk.\u0266\u025br\u02ccv\u0254r.m\u0259r.t\u02b2\u0259s/']
kerkhistorici	[u'/\u02c8k\u025brk.\u0266\u026as\u02ccto\u031d\u02d0.ri.si/', u'/\u02c8k\u025brk.\u0266\u026as\u02ccto\u02d0.ri.si/']
kerkhistoricus	[u'/\u02c8k\u025brk.\u0266\u026as\u02ccto\u031d\u02d0.ri.k\u0259s/', u'/\u02c8k\u025brk.\u0266\u026as\u02ccto\u02d0.ri.k\u028fs/']
kerkhistorie	[u'/\u02c8kerk.\u0266\u026as\u02ccto\u031d\u02d0.ri/', u'/\u02c8kerk.\u0266\u026as\u02ccto\u02d0.ri/']
kerkje	[u'/\u02c8k\u025brk.j\u0259/', u'/\u02c8k\u025brk.j\u0259/']
kerkjes	[u'/\u02c8k\u025brk.j\u0259s/', u'/\u02c8k\u025brk.j\u0259s/']
kerkklok	[u'/\u02c8k\u025br.kl\u0254k/', u'/\u02c8k\u025br.kl\u0254k/']
kerkklokje	[u'/\u02c8k\u025br.kl\u0254k.j\u0259/', u'/\u02c8k\u025br.kl\u0254k.j\u0259/']
kerkklokjes	[u'/\u02c8k\u025br.kl\u0254k.j\u0259s/', u'/\u02c8k\u025br.kl\u0254k.j\u0259s/']
kerkklokken	[u'/\u02c8k\u025br.kl\u0254.k\u0259(n)/', u'/\u02c8k\u025br.kl\u0254.k\u0259(n)/']
kerkuil	[u'/\u02c8k\u025brk\u0153\u028f\u032f\u026b/', u'/\u02c8k\u025brk\u028c\u028f\u032f\u026b/', u'/\u02c8k\u025brk\u0153\u02d0l/', u'/\u02c8k\u025brg\u0153\u02d0l/']
kerkuilen	[u'/\u02c8k\u025brk\u0153\u028f\u032fl\u0259(n)/', u'/\u02c8k\u025brk\u0153\u02d0l\u0259(n)/', u'/\u02c8k\u025brk\u0153\u02d0l\u0259(n)/']
kerkuiltje	[u'/\u02c8k\u025brk\u0153\u02d0\u026bcj\u0259/', u'/\u02c8k\u025brk\u0153\u02d0ltj\u0259/', u'/\u02c8k\u025brk\u0153\u02d0ltj\u0259/']
kerkuiltjes	[u'/\u02c8k\u025brk\u0153\u02d0\u026bcj\u0259s/', u'/\u02c8k\u025brk\u0153\u02d0ltj\u0259s/', u'/\u02c8k\u025brk\u0153\u02d0ltj\u0259s/']
kernaandrijving	[u'/\u02c8k\u025brnandr\u025b\u026av\u026a\u014b/']
keroev	[u"/k\u0259'ruv/"]
kers	[u'/k\u025brs/']
kerselaar	[u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r/']
kerselaars	[u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0rs/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0rs/']
kerselaartje	[u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.c\u02b2\u0259/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.t\u02b2\u0259/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.c\u0259/']
kerselaartjes	[u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.c\u02b2\u0259s/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.t\u02b2\u0259s/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0r.c\u0259s/']
kerselaren	[u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0.r\u0259(n)/', u'/\u02c8k\u025br.s\u0259.\u02ccla\u02d0.r\u0259(n)/']
kersentaart	[u'/\u02c8k\u025brs\u0259nta\u02d0rt']
kerst-cd	[u'/\u02c8k\u025br.se.\u02ccde/', u'/\u02c8k\u025brs.tse.\u02ccde/', u'/\u02c8k\u025br.se.\u02ccde/', u'/\u02c8k\u025brs.tse.\u02ccde/', u'/\u02c8k\u025br.se.\u02ccde/']
kerst-cd's	[u'/\u02c8k\u025br.se.\u02ccdes/', u'/\u02c8k\u025brs.tse.\u02ccdes/', u'/\u02c8k\u025br.se.\u02ccdes/', u'/\u02c8k\u025brs.tse.\u02ccdes/', u'/\u02c8k\u025br.se.\u02ccdes/']
kerst-cd'tje	[u'/\u02c8k\u025br.se.\u02ccde.c\u02b2\u0259/', u'/\u02c8k\u025brs.tse.\u02ccde.c\u02b2\u0259/', u'/\u02c8k\u025br.se.\u02ccde.t\u02b2\u0259/', u'/\u02c8k\u025brs.tse.\u02ccde.t\u02b2\u0259/', u'/\u02c8k\u025br.se.\u02ccde.c\u0259/']
kerst-cd'tjes	[u'/\u02c8k\u025br.se.\u02ccde.c\u02b2\u0259s/', u'/\u02c8k\u025brs.tse.\u02ccde.c\u02b2\u0259s/', u'/\u02c8k\u025br.se.\u02ccde.t\u02b2\u0259s/', u'/\u02c8k\u025brs.tse.\u02ccde.t\u02b2\u0259s/', u'/\u02c8k\u025br.se.\u02ccde.c\u0259s/']
kerstavond	[u'/k\u025br.\u02c8sta.v\u0254nt/', u"/k\u025br.'sta.v\u0259nt/", u'/k\u025br.\u02c8sta.v\u0254nt/', u'/k\u025br.\u02c8z(d)a.v\u0254nd/']
kerstavonden	[u'/\u02c8k\u025br.sta.v\u0254n.d\u0259(n)/', u'/\u02c8k\u025br.sta.v\u0259n.d\u0259(n)/', u'/\u02c8k\u025br.sta.v\u0254n.d\u0259(n)/', u'/\u02c8k\u025br.z(d)a.v\u0254n.d\u0259(n)/']
kerstbal	[u'/\u02c8k\u025brsd.b\u0251\u026b/', u'/\u02c8k\u025brsd.b\u0251\u026b/', u'/\u02c8k\u025brz.b\u0251l/']
kerstballen	[u'/\u02c8k\u025brsd.b\u0251.l\u0259(n)/', u'/\u02c8k\u025brsd.b\u0251.l\u0259(n)/', u'/\u02c8k\u025brz.b\u0251.l\u0259(n)/']
kerstballetje	[u'/\u02c8k\u025brsd.b\u0251.l\u0259.tj\u0259/', u'/\u02c8k\u025brsd.b\u0251.l\u0259.tj\u0259/', u'/\u02c8k\u025brz.b\u0251.l\u0259.c\u0259/']
kerstballetjes	[u'/\u02c8k\u025brsd.b\u0251.l\u0259.tj\u0259s/', u'/\u02c8k\u025brsd.b\u0251.l\u0259.tj\u0259s/', u'/\u02c8k\u025brz.b\u0251.l\u0259.c\u0259s/']
kerstbomen	[u'/\u02c8k\u025brsd.bo.m\u0259(n)/', u'/\u02c8k\u025brsd.bo.m\u0259(n)/', u'/\u02c8k\u025brz.bo.m\u0259(n)/']
kerstboom	[u'/\u02c8k\u025brsd.bom/', u'/\u02c8k\u025brsd.bom/', u'/\u02c8k\u025brz.bom/']
kerstboompje	[u'/\u02c8k\u025brsd.bom.pj\u0259/', u'/\u02c8k\u025brsd.bom.pj\u0259/', u'/\u02c8k\u025brz.bom.pj\u0259/']
kerstboompjes	[u'/\u02c8k\u025brsd.bom.pj\u0259s/', u'/\u02c8k\u025brsd.bom.pj\u0259s/', u'/\u02c8k\u025brz.bom.pj\u0259s/']
kerstbroden	[u'/\u02c8k\u025brsd.bro.d\u0259(n)/', u'/\u02c8k\u025brsd.bro.d\u0259(n)/', u'/\u02c8k\u025brz.bro.d\u0259(n)/']
kerstbrood	[u'/\u02c8k\u025brsd.brot/', u'/\u02c8k\u025brsd.brot/', u'/\u02c8k\u025brz.brod/']
kerstbroodje	[u'/\u02c8k\u025brsd.bro.tj\u0259/', u'/\u02c8k\u025brsd.bro.tj\u0259/', u'/\u02c8k\u025brz.bro.c\u0259/']
kerstbroodjes	[u'/\u02c8k\u025brsd.bro.tj\u0259s/', u'/\u02c8k\u025brsd.bro.tj\u0259s/', u'/\u02c8k\u025brz.bro.c\u0259s/']
kerstcrises	[u'/\u02c8k\u025brst.kri.z\u025bs/', u'/\u02c8k\u025brst.kri.z\u025bs/']
kerstcrisis	[u'/\u02c8k\u025brst.kri.z\u026as/', u'/\u02c8k\u025brst.kri.z\u0259s/', u'/\u02c8k\u025brst.kri.z\u026as/']
kerstdag	[u'/\u02c8k\u025brs.d\u0251\u03c7/', u'/k\u025brs.\u02c8d\u0251\u03c7/', u'/\u02c8k\u025brs.d\u0251x/', u'/k\u025brs.\u02c8d\u0251x/', u'/\u02c8k\u025brz.d\u0251x/']
kerstdagen	[u'/\u02c8k\u025brs.da.\u03c7\u0259(n)/', u'/\u02c8k\u025brs.da.\u0263\u0259(n)/', u'/\u02c8k\u025brz.da.\u0263\u0259(n)/']
kerstekind	[u'/\u02c8k\u025br.st\u0259.\u02cck\u026ant/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026ant/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026and/']
kerstekinderen	[u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.d\u0259.r\u0259(n)/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.d\u0259.r\u0259(n)/']
kerstekindje	[u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.c\u02b2\u0259/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.t\u02b2\u0259/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026a\u0272.c\u0259/']
kerstekindjes	[u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.c\u02b2\u0259s/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026an.t\u02b2\u0259s/', u'/\u02c8k\u025br.st\u0259.\u02cck\u026a\u0272.c\u0259s/']
kersten	[u'/\u02c8k\u025br.st\u0259n/', u'/\u02c8k\u025br.st\u0259n/']
kerstende	[u'/\u02c8k\u025br.st\u0259n.\u02ccd\u0259/', u'/\u02c8k\u025br.st\u0259n.\u02ccd\u0259/']
kerstenden	[u'/\u02c8k\u025br.st\u0259n.\u02ccd\u0259(n)/', u'/\u02c8k\u025br.st\u0259n.\u02ccd\u0259(n)/']
kerstene	[u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259/', u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259/']
kerstenen	[u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259(n)/', u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259(n)/']
kerstenend	[u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259nt/', u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259nt/', u'/\u02c8k\u025br.st\u0259.\u02ccn\u0259nd/']
kerstening	[u'/\u02c8k\u025br.st\u0259.\u02ccn\u026a\u014b/', u'/\u02c8k\u025br.st\u0259.\u02ccn\u026a\u014b/']
kerstent	[u'/\u02c8k\u025br.st\u0259nt/', u'/\u02c8k\u025br.st\u0259nt/']
kerstfeest	[u'/\u02c8k\u025brst.fest/', u'/\u02c8k\u025brst.fest/', u'/\u02c8k\u025brs.fes/']
kerstgedachte	[u'/\u02c8k\u025brst.\u03c7\u0259.\u02ccd\u0251\u03c7.t\u0259/', u'/\u02c8k\u025brst.x\u0259.\u02ccd\u0251x.t\u0259/', u'/\u02c8k\u025brz.\u0263\u0259.\u02ccd\u0251x.t\u0259/', u'/\u02c8k\u025brz.\u0263\u0259.\u02ccd\u0251\u0263.d\u0259/']
kerstgedachten	[u'/\u02c8k\u025brst.\u03c7\u0259.\u02ccd\u0251\u03c7.t\u0259(n)/', u'/\u02c8k\u025brst.x\u0259.\u02ccd\u0251x.t\u0259(n)/', u'/\u02c8k\u025brz.\u0263\u0259.\u02ccd\u0251x.t\u0259(n)/']
kerstgedachtes	[u'/\u02c8k\u025brst.\u03c7\u0259.\u02ccd\u0251\u03c7.t\u0259s/', u'/\u02c8k\u025brst.x\u0259.\u02ccd\u0251x.t\u0259s/', u'/\u02c8k\u025brz.\u0263\u0259.\u02ccd\u0251x.t\u0259s/']
kerstkaart	[u'/\u02c8k\u025brst.kart/', u'/\u02c8k\u025brst.kart/', u'/\u02c8k\u025brs.kart/']
kerstkaarten	[u'/\u02c8k\u025brst.kar.t\u0259(n)/', u'/\u02c8k\u025brst.kar.t\u0259(n)/', u'/\u02c8k\u025brs.kar.t\u0259(n)/']
kerstkaartje	[u'/\u02c8k\u025brst.kar.cj\u0259/', u'/\u02c8k\u025brst.kar.tj\u0259/', u'/\u02c8k\u025brs.kar.c\u0259/']
kerstkaartjes	[u'/\u02c8k\u025brst.kar.cj\u0259s/', u'/\u02c8k\u025brst.kar.tj\u0259s/', u'/\u02c8k\u025brs.kar.c\u0259s/']
kerstkalkoen	[u'/\u02c8k\u025brs.k\u0251\u026b.\u02cckun/', u'/\u02c8k\u025brs.k\u0251\u026b.\u02cckun/', u'/\u02c8k\u025brs.k\u0251l.\u02cckun/']
kerstkind	[u'/\u02c8k\u025brst.k\u026ant/', u'/\u02c8k\u025brst.k\u026ant/', u'/\u02c8k\u025brs.k\u026and/']
kerstkinderen	[u'/\u02c8k\u025brst.k\u026an.d\u0259.r\u0259(n)/', u'/\u02c8k\u025brst.k\u026an.d\u0259.r\u0259(n)/', u'/\u02c8k\u025brs.k\u026an.d\u0259.r\u0259(n)/']
kerstkindje	[u'/\u02c8k\u025brst.k\u026an.c\u02b2\u0259/', u'/\u02c8k\u025brst.k\u026an.t\u02b2\u0259/', u'/\u02c8k\u025brs.k\u026a\u0272.c\u0259/']
kerstkindjes	[u'/\u02c8k\u025brst.k\u026an.c\u02b2\u0259s/', u'/\u02c8k\u025brst.k\u026an.t\u02b2\u0259s/', u'/\u02c8k\u025brs.k\u026a\u0272.c\u0259s/']
kerstlied	[u'/\u02c8k\u025brst.lit/', u'/\u02c8k\u025brst.lit/', u'/\u02c8k\u025brs.lid/']
kerstliederen	[u'/\u02c8k\u025brst.li.d\u0259.r\u0259(n)/', u'/\u02c8k\u025brst.li.d\u0259.r\u0259(n)/', u'/\u02c8k\u025brs.li.d\u0259.r\u0259(n)/']
kerstliedje	[u'/\u02c8k\u025brst.li.tj\u0259/', u'/\u02c8k\u025brst.li.tj\u0259/', u'/\u02c8k\u025brs.li.c\u0259/']
kerstliedjes	[u'/\u02c8k\u025brst.li.tj\u0259s/', u'/\u02c8k\u025brst.li.tj\u0259s/', u'/\u02c8k\u025brs.li.c\u0259s/']
Kerstman	[u'/\u02c8k\u025brst.m\u0251n/', u'/\u02c8k\u025brst.m\u0251n/', u'/\u02c8k\u025brs.m\u0251n/']
kerstmannen	[u'/\u02c8k\u025brst.m\u0251.n\u0259(n)/', u'/\u02c8k\u025brst.m\u0251.n\u0259(n)/', u'/\u02c8k\u025brs.m\u0251.n\u0259(n)/']
Kerstmis	[u'/\u02c8k\u025brstm\u026as/', u'/\u02c8k\u025brstm\u026as/', u'/\u02c8k\u025brsm\u026as/']
kerstmis	[u'/\u02c8k\u025brstm\u026as/', u'/\u02c8k\u025brstm\u026as/', u'/\u02c8k\u025brsm\u026as/']
kerstmisje	[u'/\u02c8k\u025brst.m\u026a.sj\u0259/', u'/\u02c8k\u025brst.m\u026a.sj\u0259/', u'/\u02c8k\u025brs.m\u026a.\u0283\u0259/']
kerstmisjes	[u'/\u02c8k\u025brst.m\u026a.sj\u0259s/', u'/\u02c8k\u025brst.m\u026a.sj\u0259s/', u'/\u02c8k\u025brs.m\u026a.\u0283\u0259s/']
kerstmissen	[u'/\u02c8k\u025brst.m\u026a.s\u0259(n)/', u'/\u02c8k\u025brst.m\u026a.s\u0259(n)/', u'/\u02c8k\u025brs.m\u026a.s\u0259(n)/']
kerstmuziek	[u'/\u02c8k\u025brst.my.\u02cczik/', u'/\u02c8k\u025brst.my.\u02cczik/', u'/\u02c8k\u025brs.my.\u02cczi(\u02d0)k/']
kerstmuziekje	[u'/\u02c8k\u025brst.my.\u02cczik.j\u0259/', u'/\u02c8k\u025brst.my.\u02cczik.j\u0259/', u'/\u02c8k\u025brs.my.\u02cczi(\u02d0)k.j\u0259/']
kerstmuziekjes	[u'/\u02c8k\u025brst.my.\u02cczik.j\u0259s/', u'/\u02c8k\u025brst.my.\u02cczik.j\u0259s/', u'/\u02c8k\u025brs.my.\u02cczi(\u02d0)k.j\u0259s/']
kerstnacht	[u'/k\u025brst.\u02c8n\u0251\u03c7t/', u'/k\u025brst.\u02c8n\u0251xt/', u'/\u02c8k\u025brs.n\u0251x/']
kerstnachten	[u'/\u02c8k\u025brst.n\u0251\u03c7.t\u0259(n)/', u'/\u02c8k\u025brst.n\u0251x.t\u0259(n)/', u'/\u02c8k\u025brs.n\u0251x.t\u0259(n)/']
kerstomaat	[u'/\u02c8k\u025br.sto.\u02ccmat/', u'/\u02c8k\u025br.sto.\u02ccmat/']
kerstomaatje	[u'/\u02c8k\u025br.sto.\u02ccma.c\u02b2\u0259/', u'/\u02c8k\u025br.sto.\u02ccma.t\u02b2\u0259/', u'/\u02c8k\u025br.sto.\u02ccma.c\u0259/']
kerstomaatjes	[u'/\u02c8k\u025br.sto.\u02ccma.c\u02b2\u0259s/', u'/\u02c8k\u025br.sto.\u02ccma.t\u02b2\u0259s/', u'/\u02c8k\u025br.sto.\u02ccma.c\u0259s/']
kerstomaten	[u'/\u02c8k\u025br.sto.\u02ccma.t\u0259(n)/', u'/\u02c8k\u025br.sto.\u02ccma.t\u0259(n)/']
kerstontbijt	[u'/\u02c8k\u025br.st\u0254m.\u02ccb\u025b\u026a\u032ft/', u'/\u02c8k\u025brst.\u0254nd.\u02ccb\u025b\u026a\u032ft/', u'/\u02c8k\u025br.z(d)\u0254n(d).\u02ccb\u025b\u026a\u032ft/']
kerstontbijten	[u'/\u02c8k\u025br.st\u0254m.\u02ccb\u025b\u026a\u032f.t\u0259(n)/', u'/\u02c8k\u025brst.\u0254nd.\u02ccb\u025b\u026a\u032f.t\u0259(n)/', u'/\u02c8k\u025br.z(d)\u0254n(d).\u02ccb\u025b\u026a\u032ft\u0259(n)/']
kerstontbijtje	[u'/\u02c8k\u025br.st\u0254m.\u02ccb\u025b\u026a\u032f.cj\u0259/', u'/\u02c8k\u025brst.\u0254nd.\u02ccb\u025b\u026a\u032f.cj\u0259/', u'/\u02c8k\u025br.z(d)\u0254n(d).\u02ccb\u025b\u026a\u032f.c\u0259/']
kerstontbijtjes	[u'/\u02c8k\u025br.st\u0254m.\u02ccb\u025b\u026a\u032f.cj\u0259s/', u'/\u02c8k\u025brst.\u0254nd.\u02ccb\u025b\u026a\u032f.cj\u0259s/', u'/\u02c8k\u025br.z(d)\u0254n(d).\u02ccb\u025b\u026a\u032f.c\u0259s/']
kerststal	[u'/\u02c8k\u025br.st\u0251\u026b/', u'/\u02c8k\u025br.st\u0251l/']
kerststallen	[u'/\u02c8k\u025br.st\u0251.l\u0259(n)/', u'/\u02c8k\u025br.st\u0251.l\u0259(n)/']
kerststalletje	[u'/\u02c8k\u025br.st\u0251.l\u0259.c\u02b2\u0259/', u'/\u02c8k\u025br.st\u0251.l\u0259.t\u02b2\u0259/', u'/\u02c8k\u025br.st\u0251.l\u0259.c\u0259/']
kerststalletjes	[u'/\u02c8k\u025br.st\u0251.l\u0259.c\u02b2\u0259s/', u'/\u02c8k\u025br.st\u0251.l\u0259.t\u02b2\u0259s/', u'/\u02c8k\u025br.st\u0251.l\u0259.c\u0259s/']
kerststol	[u'/\u02c8k\u025br.st\u0254\u026b/', u'/\u02c8k\u025br.st\u0254\u026b/', u'/\u02c8k\u025br.st\u0254l/']
kerststollen	[u'/\u02c8k\u025br.st\u0254.l\u0259(n)/', u'/\u02c8k\u025br.st\u0254.l\u0259(n)/', u'/\u02c8k\u025br.st\u0254.l\u0259(n)/']
kerststolletje	[u'/\u02c8k\u025br.st\u0254.l\u0259.tj\u0259/', u'/\u02c8k\u025br.st\u0254.l\u0259.tj\u0259/', u'/\u02c8k\u025br.st\u0254.l\u0259.c\u0259/']
kerststolletjes	[u'/\u02c8k\u025br.st\u0254.l\u0259.tj\u0259s/', u'/\u02c8k\u025br.st\u0254.l\u0259.tj\u0259s/', u'/\u02c8k\u025br.st\u0254.l\u0259.c\u0259s/']
kerststronk	[u'/\u02c8k\u025br.str\u0254\u014bk/', u'/\u02c8k\u025br.str\u0254\u014bk/']
kerststronken	[u'/\u02c8k\u025br.str\u0254\u014b.k\u0259(n)/', u'/\u02c8k\u025br.str\u0254\u014b.k\u0259(n)/']
kerststronkje	[u'/\u02c8k\u025br.str\u0254\u014b.kj\u0259/', u'/\u02c8k\u025br.str\u0254\u014b.kj\u0259/']
kerststronkjes	[u'/\u02c8k\u025br.str\u0254\u014b.kj\u0259s/', u'/\u02c8k\u025br.str\u0254\u014b.kj\u0259s/']
kerstvakantie	[u'/\u02c8k\u025brst.fa.\u02cck\u0251n.\u02a6i/', u'/\u02c8k\u025brst.fa.\u02cck\u0251n.si/', u'/\u02c8k\u025brz.va.\u02cck\u0251n.si/']
kerstvakanties	[u'/\u02c8k\u025brst.fa.\u02cck\u0251n.\u02a6is/', u'/\u02c8k\u025brst.fa.\u02cck\u0251n.sis/', u'/\u02c8k\u025brz.va.\u02cck\u0251n.sis/']
kerstvakantietje	[u'/\u02c8k\u025brst.fa.\u02cck\u0251n.\u02a6i.c\u02b2\u0259/', u'/\u02c8k\u025brst.fa.\u02cck\u0251n.si.t\u02b2\u0259/', u'/\u02c8k\u025brz.va.\u02cck\u0251n.si.c\u0259/']
kerstvakantietjes	[u'/\u02c8k\u025brst.fa.\u02cck\u0251n.\u02a6i.c\u02b2\u0259s/', u'/\u02c8k\u025brst.fa.\u02cck\u0251n.si.t\u02b2\u0259s/', u'/\u02c8k\u025brz.va.\u02cck\u0251n.si.c\u0259s/']
kerstversiering	[u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b/', u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b/', u'/\u02c8k\u025brz.v\u025br.\u02ccsi\u02d0.r\u026a\u014b/']
kerstversieringen	[u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a.\u014b\u0259(n)/', u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a.\u014b\u0259(n)/', u'/\u02c8k\u025brz.v\u025br.\u02ccsi\u02d0.r\u026a.\u014b\u0259(n)/']
kerstversierinkje	[u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259/', u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259/', u'/\u02c8k\u025brz.v\u025br.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259/']
kerstversierinkjes	[u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259s/', u'/\u02c8k\u025brst.f\u0259r.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259s/', u'/\u02c8k\u025brz.v\u025br.\u02ccsi\u02d0.r\u026a\u014b.kj\u0259s/']
kesause mangelen	[u"/k\u0259's\u0251us\u0259 'm\u0251\u014b\u0259l\u0259n/"]
kesausies	[u"/k\u0259's\u0251usis/"]
kesef	[u"/'k\u025bs\u025bf/"]
kesjtengen	[u'/k\u0259\u0283\u02c8t\u025b\u014b\u0259(n)/']
ketariem	[u"/k\u0259ta'rim/"]
ketel	[u"/'ket\u0259l/"]
keteldal	[u'/\u02c8ke.t\u0259\u026b.d\u0251\u026b/', u'/\u02c8ke.t\u0259l.d\u0251l/', u'/\u02c8ke\u02d0.t\u0259l.d\u0251l/']
keter	[u"/'k\u025bt\u025br/"]
keter malchoet	[u"/'k\u025bt\u025br m\u0251l'xut/"]
keter Tora	[u"/'k\u025bt\u025br to'r\u0251/"]
ketiev	[u"/k\u0259'tiv/"]
ketiev chaseer	[u"/k\u0259'tiv xa'ser/"]
ketiev malee	[u"/k\u0259'tiv ma'le/"]
ketoeba	[u"/k\u0259tu'ba/"]
ketoebot	[u"/k\u0259tu'b\u0254t/"]
ketoeviem	[u"/k\u0259tu'vim/"]
ketsienem	[u'/k\u0259tsin\u0259m/']
ketter	[u'/k\u025bt\u0259r/']
ketterij	[u'/\u02cck\u025bt\u0259\u02c8r\u025b\u026a/']
ketting	[u"/'k\u025bt\u026a\u014b/"]
kettingkast	[u'/xxxx/']
keukenkast	[u'/\u02c8k\xf8.k\u0259\u02cck\u0251st/', u'/\u02c8k\xf8.k\u0259\u02cck\u0251st/']
keukenkasten	[u'/\u02c8k\xf8.k\u0259\u02cck\u0251s.t\u0259(n)/', u'/\u02c8k\xf8.k\u0259\u02cck\u0251s.t\u0259(n)/']
keukenkastje	[u'/\u02c8k\xf8.k\u0259\u02cck\u0251.\u0283\u0259/', u'/\u02c8k\xf8.k\u0259\u02cck\u0251s.t\u02b2\u0259/']
keukenkastjes	[u'/\u02c8k\xf8.k\u0259\u02cck\u0251.\u0283\u0259s/', u'/\u02c8k\xf8.k\u0259\u02cck\u0251s.t\u02b2\u0259s/']
keukenwekker	[u'/\u02c8k\xf8k\u0259(n)\u02cc\u028b\u025bk\u0259r/']
keus	[u"/'k\xf8:s/"]
kevarot	[u"/k\u0259va'r\u0254t/"]
kever	[u'/\u02c8k\u025bv\u0259r/']
keyboard	[u'/\u02c8ki\u02d0b\u0254\u02d0(r)t/', u'/\u02c8ki\u02d0b\u0254\u02d0(r)d/', u'/\u02c8ki\u02d0b\u0254\u02d0(r)d/']
kibbelen	[u'/k\u026ab\u0259l\u0259(n)/']
kibboets	[u'/\u02c8kibuts/', u'/\u02c8k\u026abuts/']
kibboetsen	[u'/\u02c8kibuts\u0259(n)/', u'/\u02c8k\u026abuts\u0259(n)/']
kibboetsnik	[u'/\u02c8kibutsn\u026ak/']
kibboetsniks	[u'/\u02c8kibutsn\u026aks/']
kiboed av waëem	[u'/ki\u02c8bud \u0251v wa\u02c8\u0294em/']
kiboets	[u'/ki\u02c8buts/']
kiboets galoejot	[u"/ki'buts \u0261alu'j\u0254t/"]
kiboetsen	[u'/ki\u02c8buts\u0259(n)/']
